Dataset,Vocabulary,Exempt_Mode,Model_ID,SARI_Avg,SARI_Median,SARI_Min,SARI_Max,SARI_P90,BLEU_Avg,BLEU_Median,BLEU_Min,BLEU_Max,BLEU_P90,METEOR_Avg,METEOR_Median,METEOR_Min,METEOR_Max,METEOR_P90,BERTScore_Avg,BERTScore_Median,BERTScore_Min,BERTScore_Max,BERTScore_P90,Jaccard_Similarity_Avg,Jaccard_Similarity_Median,Jaccard_Similarity_Min,Jaccard_Similarity_Max,Jaccard_Similarity_P90,Cosine_Similarity_Avg,Cosine_Similarity_Median,Cosine_Similarity_Min,Cosine_Similarity_Max,Cosine_Similarity_P90,Compression_Ratio_Avg,Compression_Ratio_Median,Compression_Ratio_Min,Compression_Ratio_Max,Compression_Ratio_P90
turk_corpus,vocab_2000.txt,english_stopwords,T5,25.171,25.0626,8.5612,48.0692,34.3999,1.3644,0.0045,0.0,17.0597,4.1824,8.7597,3.937,0.0,53.4262,26.01,63.5349,63.0585,44.5291,87.1195,75.6133,7.2999,0.0,0.0,48.2759,22.8877,62.2733,61.5296,41.6174,88.8444,75.5486,2.0666,1.7222,0.0286,10.1667,4.7692
asset,vocab_2000.txt,english_stopwords,T5,26.7672,25.9052,14.0859,49.2899,34.0473,1.6119,0.6738,0.0,15.556,4.7677,9.6276,5.0,0.0,51.2099,28.4021,64.1532,63.4125,44.9343,85.8527,76.0338,6.4883,0.0,0.0,48.2759,21.2554,61.4312,61.1083,41.6174,85.7134,74.6214,1.98,1.7778,0.0294,10.5,4.3714
sick,vocab_2000.txt,english_stopwords,T5,26.0532,28.294,3.5836,46.0941,32.4074,0.2261,0.0,0.0,10.5215,0.5865,1.7996,0.0,0.0,57.4743,4.6864,59.3995,56.6305,49.6119,87.4763,68.2714,2.8656,0.0,0.0,52.9412,8.4091,62.2443,60.4689,52.6443,90.5264,69.1439,0.6747,0.1111,0.0476,7.625,2.697
turk_corpus,vocab_2000.txt,english_stopwords,BYT5,26.3145,26.3837,9.9666,54.1748,34.2091,4.0018,2.6584,0.0,46.3531,8.6217,14.023,11.1913,0.0,59.3444,28.7635,69.0026,68.8817,53.3147,88.7363,75.5989,13.1963,11.1111,0.0,57.1429,27.2727,69.7522,69.2642,51.266,93.3362,79.8804,1.5602,1.3684,0.0192,7.5,2.6
asset,vocab_2000.txt,english_stopwords,BYT5,27.786,27.1157,15.5409,45.2072,33.6584,4.351,3.0717,0.0,45.6741,9.4267,15.5353,12.1457,0.0,55.3027,30.1357,69.5371,69.4491,54.3269,88.346,76.3768,11.0169,9.5238,0.0,57.1429,22.61,68.3758,68.3143,51.266,87.6344,77.8725,1.4744,1.3158,0.0294,5.0,2.3846
sick,vocab_2000.txt,english_stopwords,BYT5,30.0701,30.7023,3.3333,66.6667,39.5742,2.9456,1.6948,0.0,20.8633,7.3434,15.7657,10.2567,0.0,65.7895,38.9637,72.333,71.9536,56.7282,88.1429,80.6668,26.1855,26.4912,0.0,80.0,50.0,76.3319,76.9314,55.417,88.9462,85.2263,2.6494,2.4167,0.8667,8.25,4.0
turk_corpus,vocab_2000.txt,english_stopwords,EMB_SUB,31.9177,31.4689,12.4865,53.2897,40.9576,16.4282,12.727,1.1777,75.9836,34.9806,42.7149,42.7234,7.8947,89.5062,64.4657,79.0095,79.1365,64.6935,96.5898,86.2652,36.864,36.1702,13.3333,82.3529,52.2153,80.6419,80.4899,61.8499,97.6311,88.4089,0.9957,1.0,0.9038,1.0,1.0
asset,vocab_2000.txt,english_stopwords,EMB_SUB,33.79,33.1638,20.3402,54.4782,41.9165,17.3087,14.009,1.5315,75.9836,34.5976,43.5237,43.0286,8.2645,88.3333,62.7308,79.1143,79.2088,63.6515,95.3198,86.1671,27.167,25.7143,0.0,71.4286,42.8571,77.8673,78.1386,55.8155,95.4354,85.7937,0.9804,1.0,0.3333,2.6,1.1667
sick,vocab_2000.txt,english_stopwords,EMB_SUB,29.3912,28.3685,2.0833,66.6667,41.2118,14.9656,9.1224,0.0,75.9836,38.0186,38.7135,34.1226,0.0,98.8013,73.6111,82.633,82.1686,67.7216,98.2125,90.5746,60.3795,60.0,27.2727,100.0,80.0,90.5595,90.9006,76.0778,100.0,96.0776,1.0,1.0,1.0,1.0,1.0
turk_corpus,vocab_2000.txt,none,MLM,24.1475,24.8094,9.4956,39.8446,30.7512,5.0753,4.3194,0.0,18.7983,8.9791,17.4117,15.7233,3.6232,49.6224,28.1411,75.9079,76.4924,58.8615,89.5304,81.2476,8.9899,8.0,0.0,33.3333,17.6471,76.509,77.1108,59.1963,89.8303,82.633,0.8444,0.8621,0.4091,1.0,0.9509
asset,vocab_2000.txt,none,MLM,25.7025,25.8635,14.0859,38.3856,29.7903,5.4532,4.4569,1.3029,37.5023,9.4287,18.8989,16.7785,4.5455,59.5207,31.9444,76.3518,76.9643,63.0569,89.7283,81.8323,6.5726,5.8824,0.0,27.2727,13.6677,75.2145,76.0887,55.0074,88.3025,81.6479,0.8344,0.8519,0.2,2.2,1.038
sick,vocab_2000.txt,none,MLM,27.9552,29.7619,6.9517,41.7937,34.6832,4.0626,3.7727,0.0,28.0395,7.215,11.1339,10.6673,0.0,42.0635,22.0348,77.017,77.1052,62.4829,89.5024,81.9329,16.9427,16.3978,0.0,44.4444,28.5714,80.724,81.0734,69.9855,91.041,85.1943,0.8785,0.8856,0.5,1.0,1.0
turk_corpus,vocab_2000.txt,none,T5,22.5242,23.0324,8.5612,46.9946,29.1294,0.3434,0.0,0.0,10.5763,0.7949,2.2129,0.0,0.0,29.4213,5.2854,60.0836,60.7661,44.5291,80.6491,66.5138,1.237,0.0,0.0,34.7826,4.5455,59.441,59.8995,41.6174,86.5972,65.9004,1.1214,0.2941,0.0278,7.75,3.4444
asset,vocab_2000.txt,none,T5,24.054,24.1317,14.0859,31.9382,27.6449,0.4496,0.0,0.0,9.8472,1.367,2.5539,1.0917,0.0,28.2102,6.2268,60.6991,60.9621,44.9343,81.1599,67.2192,0.8478,0.0,0.0,12.0,3.8769,58.61,59.2052,41.6174,79.3882,65.2399,1.1023,0.2857,0.027,6.8889,3.2632
sick,vocab_2000.txt,none,T5,25.6243,28.2505,3.5836,41.5215,32.0175,0.0163,0.0,0.0,5.9237,0.0,0.0947,0.0,0.0,31.4085,0.0,57.4613,56.2045,49.6119,84.171,63.4463,0.1187,0.0,0.0,36.3636,0.0,60.4484,59.505,52.1693,89.0075,65.7177,0.2425,0.1,0.0435,4.4286,0.4357
turk_corpus,vocab_2000.txt,none,BYT5,22.543,23.1717,8.5612,34.5616,29.2937,0.7296,0.0,0.0,8.5005,2.4613,2.1723,0.0,0.0,34.4849,5.6438,65.1131,64.9097,51.7505,77.6094,70.2312,1.6807,0.0,0.0,25.0,6.25,64.488,63.654,50.1008,82.9001,71.5649,1.0356,0.8667,0.0192,5.5,1.75
asset,vocab_2000.txt,none,BYT5,24.054,24.1317,14.0859,30.9609,27.6174,0.8611,0.0,0.0,9.1638,2.7321,2.3594,0.0,0.0,30.5473,6.0314,65.517,65.3502,53.7781,77.6534,70.6035,1.0207,0.0,0.0,14.2857,4.5455,63.8416,63.2526,49.1321,82.1217,70.9127,0.9746,0.8261,0.0294,3.3333,1.6
sick,vocab_2000.txt,none,BYT5,26.0772,28.4091,4.8657,41.4886,32.3032,0.3937,0.0,0.0,4.2377,2.0244,1.3567,0.0,0.0,29.0404,5.3822,65.4874,65.6017,56.3681,81.9186,70.6276,2.5595,0.0,0.0,30.0,10.0,66.306,66.3484,55.285,87.9379,72.8738,1.7301,1.625,0.5,4.8333,2.5556
turk_corpus,vocab_2000.txt,none,EMB_SUB,24.2077,24.7203,9.969,42.9951,30.6558,3.8362,3.1252,0.0,17.7784,7.5438,13.0386,10.9012,0.0,47.5411,25.8773,71.4298,71.5636,55.9081,84.1629,76.3357,10.1843,9.0909,0.0,36.3636,19.4839,70.7909,70.9928,53.2915,87.9867,75.9548,0.9957,1.0,0.9038,1.0,1.0
asset,vocab_2000.txt,none,EMB_SUB,25.7567,25.9455,14.0859,39.7736,29.7673,4.2226,3.4419,0.0,23.4624,7.8098,14.2815,12.0968,0.0,53.7876,28.204,71.735,71.6666,60.6343,85.2156,76.8654,6.9382,6.0,0.0,26.087,15.3846,69.6019,69.7246,50.7336,83.5457,74.6892,0.9804,1.0,0.3333,2.6,1.1667
sick,vocab_2000.txt,none,EMB_SUB,28.1351,29.6698,7.7976,41.2945,34.6608,3.9013,3.7478,0.0,28.0395,6.8983,11.0787,10.4531,0.0,56.9863,22.5629,72.7123,72.5866,64.0202,83.5184,77.9619,21.4645,20.0,0.0,50.0,33.3333,75.0837,74.4261,66.259,87.0043,79.9828,1.0,1.0,1.0,1.0,1.0
